Date,Volatility
2019-03-12,0.028194791572106092
2019-03-13,0.026864490401662593
2019-03-14,0.026349895128954803
2019-03-15,0.026878888800574628
2019-03-16,0.024819818398164977
2019-03-17,0.025313069118490048
2019-03-18,0.024842181319528967
2019-03-19,0.024226033526953
2019-03-20,0.025325665717858496
2019-03-21,0.023905969551696108
2019-03-22,0.024048409069651618
2019-03-23,0.02401281876743774
2019-03-24,0.023419593020363363
2019-03-25,0.02430680809413285
2019-03-26,0.023898871979990664
2019-03-27,0.02338242192006678
2019-03-28,0.024528789996130968
2019-03-29,0.02499128121071968
2019-03-30,0.02318693003303227
2019-03-31,0.02537628652913979
2019-04-01,0.023607637999817795
2019-04-02,0.02361487425223844
2019-04-03,0.0584087344483177
2019-04-04,0.043338150290866295
2019-04-05,0.026613993630332292
2019-04-06,0.07810020848599597
2019-04-07,0.037570942907884736
2019-04-08,0.03304956705267915
2019-04-09,0.04290652023634601
2019-04-10,0.04250989576223619
2019-04-11,0.032057671603258016
2019-04-12,0.036151423318986534
2019-04-13,0.035243717503404465
2019-04-14,0.031124504062111372
2019-04-15,0.03656976964577255
2019-04-16,0.0296962248375214
2019-04-17,0.029949561891606673
2019-04-18,0.02913774905926768
2019-04-19,0.029133331337815746
2019-04-20,0.029209090253736664
2019-04-21,0.025725935052216094
2019-04-22,0.02578987855464748
2019-04-23,0.02586666517179961
2019-04-24,0.026852221244569763
2019-04-25,0.026059033233905005
2019-04-26,0.030353140667761177
2019-04-27,0.02998971841007187
2019-04-28,0.026397289301153117
2019-04-29,0.03346834111795283
2019-04-30,0.026511044547924287
2019-05-01,0.026097195017980416
2019-05-02,0.026349444858937348
2019-05-03,0.02680496184351293
2019-05-04,0.02978859979897733
2019-05-05,0.026607523512359694
2019-05-06,0.025802509098582057
2019-05-07,0.032185398393236905
2019-05-08,0.025717383810404545
2019-05-09,0.026070267472977346
2019-05-10,0.02826747169311177
2019-05-11,0.028717315594417026
2019-05-12,0.04884120895977392
2019-05-13,0.04081955601108954
2019-05-14,0.048903035098652514
2019-05-15,0.06706442154126073
2019-05-16,0.03866851162300998
2019-05-17,0.06267939991604926
2019-05-18,0.049817649573378524
2019-05-19,0.04445429429602368
2019-05-20,0.05827490469221227
2019-05-21,0.05884380667542204
2019-05-22,0.03686115455600888
2019-05-23,0.06599974817296315
2019-05-24,0.04446638076813385
2019-05-25,0.037528091684479334
2019-05-26,0.042255502709780714
2019-05-27,0.04759092490733889
2019-05-28,0.036354234671209074
2019-05-29,0.03207853024566568
2019-05-30,0.046534929759126153
2019-05-31,0.035465444876886916
2019-06-01,0.03208847256785248
2019-06-02,0.03197450017623102
2019-06-03,0.037064807831108895
2019-06-04,0.037789450758734085
2019-06-05,0.03800621774394969
2019-06-06,0.03347335553713808
2019-06-07,0.04158331308067162
2019-06-08,0.04236151853540592
2019-06-09,0.030560106055541877
2019-06-10,0.03270168925097574
2019-06-11,0.03703347569757915
2019-06-12,0.031249293507969428
2019-06-13,0.03260931679091296
2019-06-14,0.033492342846621226
2019-06-15,0.03358836632720633
2019-06-16,0.03191754705512141
2019-06-17,0.028461343940121734
2019-06-18,0.03807287438330401
2019-06-19,0.030414234301585116
2019-06-20,0.028710561429959137
2019-06-21,0.03283166252656755
2019-06-22,0.03724274200422148
2019-06-23,0.03512383250388201
2019-06-24,0.03148478860033354
2019-06-25,0.03957746517911998
2019-06-26,0.04319386512096159
2019-06-27,0.04593363934629843
2019-06-28,0.06397993649959868
2019-06-29,0.06580980144420191
2019-06-30,0.06151700483693924
2019-07-01,0.08712476343230849
2019-07-02,0.06858806013200208
2019-07-03,0.04993408823381841
2019-07-04,0.07682983288404988
2019-07-05,0.062292010097971674
2019-07-06,0.04735457209542786
2019-07-07,0.06408491680042674
2019-07-08,0.05637954947386811
2019-07-09,0.04764272504961959
2019-07-10,0.04479435104087033
2019-07-11,0.04499807471944987
2019-07-12,0.05436103769738772
2019-07-13,0.041140861141350286
2019-07-14,0.04091329521732017
2019-07-15,0.060622221742839565
2019-07-16,0.05007500899798704
2019-07-17,0.06201074118710255
2019-07-18,0.06907477776317777
2019-07-19,0.05773640432982592
2019-07-20,0.07808382332979398
2019-07-21,0.04725546859529561
2019-07-22,0.06192284191650344
2019-07-23,0.048531436759181694
2019-07-24,0.04865609326871113
2019-07-25,0.04176658027728422
2019-07-26,0.04142959827068414
2019-07-27,0.04105227327555674
2019-07-28,0.037117689190524175
2019-07-29,0.03363741909432367
2019-07-30,0.03183432492889557
2019-07-31,0.035865625422850836
2019-08-01,0.03270444207708426
2019-08-02,0.03104621244882751
2019-08-03,0.029012400121443
2019-08-04,0.0359296196828241
2019-08-05,0.03044943464401412
2019-08-06,0.03597660157336899
2019-08-07,0.035313040634601424
2019-08-08,0.03171418669422477
2019-08-09,0.04291149905049943
2019-08-10,0.03181404531111599
2019-08-11,0.0362479712321755
2019-08-12,0.031823877132357195
2019-08-13,0.030686736362001796
2019-08-14,0.03799008275996058
2019-08-15,0.0412144173607182
2019-08-16,0.03437452378885694
2019-08-17,0.035561764899024295
2019-08-18,0.048103941916808814
2019-08-19,0.031951238050725556
2019-08-20,0.03403576607401818
2019-08-21,0.035298143087892614
2019-08-22,0.0379685954030471
2019-08-23,0.03848573402090979
2019-08-24,0.03058077844175559
2019-08-25,0.04154815781116662
2019-08-26,0.030509114139267542
2019-08-27,0.031429739099031545
2019-08-28,0.03236637906532199
2019-08-29,0.03310068410139602
2019-08-30,0.03125454031174559
2019-08-31,0.029168849456833637
2019-09-01,0.033868749223697224
