Date,Volatility
2019-03-12,0.048225518754878544
2019-03-13,0.0471003059970987
2019-03-14,0.04588383163315419
2019-03-15,0.04469047675311987
2019-03-16,0.04348490754518426
2019-03-17,0.04308327959622468
2019-03-18,0.04268808191332884
2019-03-19,0.041648970569666946
2019-03-20,0.04126782550224521
2019-03-21,0.040608561517428116
2019-03-22,0.039831452075055965
2019-03-23,0.04466924849091676
2019-03-24,0.049144944302754935
2019-03-25,0.05105411595961427
2019-03-26,0.054113055796025676
2019-03-27,0.05355667540283579
2019-03-28,0.05351477303250971
2019-03-29,0.05378202921328672
2019-03-30,0.05574587951793728
2019-03-31,0.054806442067827234
2019-04-01,0.052535476925430806
2019-04-02,0.0525158608735578
2019-04-03,0.06162305114816588
2019-04-04,0.06408856199864597
2019-04-05,0.06669843640973175
2019-04-06,0.06978417110295541
2019-04-07,0.06115963936253163
2019-04-08,0.05899342655011613
2019-04-09,0.05712835523429566
2019-04-10,0.05360254203946924
2019-04-11,0.05407975017822905
2019-04-12,0.05557213238731067
2019-04-13,0.054381412092426695
2019-04-14,0.05387587481321986
2019-04-15,0.05148654229697795
2019-04-16,0.04795108473860805
2019-04-17,0.04647504993399718
2019-04-18,0.044611970723239115
2019-04-19,0.04294902442425726
2019-04-20,0.0417192793521704
2019-04-21,0.04128887580586474
2019-04-22,0.04105648055784843
2019-04-23,0.04206509831010341
2019-04-24,0.04292487626174735
2019-04-25,0.04277883532156504
2019-04-26,0.043952248170185684
2019-04-27,0.04282584507717844
2019-04-28,0.0416314658444989
2019-04-29,0.04129656028324901
2019-04-30,0.0414852975945107
2019-05-01,0.045339206962754355
2019-05-02,0.04612505195813507
2019-05-03,0.04689993982308111
2019-05-04,0.04634942154525841
2019-05-05,0.04377117053308256
2019-05-06,0.043017302776493
2019-05-07,0.04208134123049033
2019-05-08,0.04195471119179335
2019-05-09,0.04033717777364205
2019-05-10,0.041003611044757395
2019-05-11,0.04111715130986075
2019-05-12,0.055417834420998256
2019-05-13,0.06004364483360733
2019-05-14,0.06342606508244009
2019-05-15,0.07492879934090425
2019-05-16,0.07287471778213554
2019-05-17,0.07517143790528392
2019-05-18,0.0781640298633873
2019-05-19,0.07286886064285168
2019-05-20,0.07220568449134593
2019-05-21,0.07016248318153698
2019-05-22,0.06692922755056051
2019-05-23,0.06712602479570966
2019-05-24,0.06277703361136681
2019-05-25,0.060644275523853874
2019-05-26,0.059091551137746286
2019-05-27,0.0560363065034171
2019-05-28,0.05564437048526781
2019-05-29,0.05440398150136818
2019-05-30,0.05346794720703758
2019-05-31,0.05341843707121402
2019-06-01,0.052434741354408884
2019-06-02,0.05190765875649425
2019-06-03,0.05334545429267157
2019-06-04,0.05430417340901209
2019-06-05,0.055690586479573416
2019-06-06,0.05643659293056717
2019-06-07,0.05530478187450259
2019-06-08,0.05251114157150039
2019-06-09,0.049270026824996184
2019-06-10,0.0492114382592224
2019-06-11,0.05043495728850848
2019-06-12,0.049858933441213546
2019-06-13,0.05405660909536902
2019-06-14,0.05595198093586936
2019-06-15,0.054723399585762215
2019-06-16,0.05551324310756462
2019-06-17,0.051914357070322305
2019-06-18,0.04830388542171152
2019-06-19,0.04793826719392117
2019-06-20,0.04591994161284373
2019-06-21,0.04489752611454585
2019-06-22,0.044295345553242715
2019-06-23,0.04362298135455482
2019-06-24,0.0432917807005862
2019-06-25,0.042446780990556016
2019-06-26,0.0417867875159854
2019-06-27,0.03970476998396725
2019-06-28,0.046387994553968984
2019-06-29,0.047485692329846056
2019-06-30,0.04866543269179141
2019-07-01,0.055140320354851904
2019-07-02,0.05102736414493343
2019-07-03,0.05189167544788834
2019-07-04,0.05278295112080093
2019-07-05,0.049781264249814175
2019-07-06,0.049337444403469516
2019-07-07,0.04818243201737112
2019-07-08,0.04736281687273996
2019-07-09,0.0444298579228848
2019-07-10,0.04365360652295401
2019-07-11,0.04631074887547569
2019-07-12,0.05061530866951747
2019-07-13,0.05395185026422184
2019-07-14,0.056452075776347165
2019-07-15,0.061691381590388804
2019-07-16,0.05983695701381706
2019-07-17,0.06675163041395057
2019-07-18,0.06926594083746307
2019-07-19,0.06734467838145397
2019-07-20,0.06902469184696307
2019-07-21,0.0637504223828126
2019-07-22,0.06130065198774172
2019-07-23,0.058573699295298556
2019-07-24,0.057591838301199766
2019-07-25,0.05626450892525592
2019-07-26,0.05461557347922032
2019-07-27,0.05551915841568464
2019-07-28,0.0542414251086612
2019-07-29,0.052271673087749305
2019-07-30,0.05179632523400184
2019-07-31,0.04853192856382601
2019-08-01,0.0457849664266582
2019-08-02,0.0443926461523711
2019-08-03,0.042743049659918514
2019-08-04,0.04124416829291856
2019-08-05,0.0405642906134
2019-08-06,0.03932547077815168
2019-08-07,0.040490389944713795
2019-08-08,0.04071612711755678
2019-08-09,0.040294180378762354
2019-08-10,0.04512559507929418
2019-08-11,0.04816217025739787
2019-08-12,0.05078666200738338
2019-08-13,0.05359150958274778
2019-08-14,0.05181652567957988
2019-08-15,0.05522339019550898
2019-08-16,0.0546399146360373
2019-08-17,0.054311544998757885
2019-08-18,0.05490512487134137
2019-08-19,0.05112096726810489
2019-08-20,0.05016397400270258
2019-08-21,0.049305098588150985
2019-08-22,0.048857790250347456
2019-08-23,0.047094972544520615
2019-08-24,0.046287998572038816
2019-08-25,0.04530317624497953
2019-08-26,0.0434858179819545
2019-08-27,0.04128992032410492
2019-08-28,0.04000762660787358
2019-08-29,0.04316223223588453
2019-08-30,0.043175545499643815
2019-08-31,0.04357889101146699
2019-09-01,0.04437193912109261
