Date,ADA-USD,BNB-USD,BTC-USD,ETH-USD
2019-03-11,0.04763299971818924,14.514413833618164,3905.227294921875,133.8340301513672
2019-03-12,0.04739699885249138,15.40613079071045,3909.15625,134.44288635253906
2019-03-13,0.04659000039100647,15.115123748779297,3906.71728515625,133.26307678222656
2019-03-14,0.048055000603199005,15.051103591918945,3924.369140625,133.7115936279297
2019-03-15,0.05007699877023697,15.077101707458496,3960.9111328125,137.69178771972656
2019-03-16,0.051621001213788986,16.11901092529297,4048.725830078125,142.39817810058594
2019-03-17,0.050207000225782394,15.76114559173584,4025.22900390625,140.00054931640625
2019-03-18,0.05045200139284134,15.682011604309082,4032.50732421875,139.37460327148438
2019-03-19,0.05259399861097336,15.693594932556152,4071.190185546875,140.51919555664062
2019-03-20,0.05389099940657616,15.280022621154785,4087.476318359375,140.6863555908203
2019-03-21,0.05290000140666962,14.517393112182617,4029.326904296875,136.6360626220703
2019-03-22,0.05806199833750725,15.266424179077148,4023.96826171875,137.1814422607422
2019-03-23,0.0637810006737709,15.235995292663574,4035.826416015625,138.2398681640625
2019-03-24,0.06170399859547615,17.285356521606445,4022.168212890625,136.98692321777344
2019-03-25,0.05902500078082085,16.841007232666016,3963.070556640625,135.03102111816406
2019-03-26,0.062369998544454575,16.335664749145508,3985.080810546875,135.46035766601562
2019-03-27,0.0675949975848198,16.781343460083008,4087.066162109375,140.9881591796875
2019-03-28,0.06582800298929214,16.805330276489258,4069.107177734375,139.41647338867188
2019-03-29,0.07128900289535522,16.510141372680664,4098.37451171875,142.49742126464844
2019-03-30,0.07173900306224823,16.932212829589844,4106.66015625,142.09268188476562
2019-03-31,0.0697460025548935,17.401670455932617,4105.404296875,141.51409912109375
2019-04-01,0.07232999801635742,17.950502395629883,4158.18310546875,141.830322265625
2019-04-02,0.08546700328588486,19.789783477783203,4879.8779296875,163.9617462158203
2019-04-03,0.09072300046682358,18.753063201904297,4973.02197265625,161.45880126953125
2019-04-04,0.08737000077962875,19.142688751220703,4922.798828125,158.0525360107422
2019-04-05,0.0912259966135025,19.453466415405273,5036.68115234375,165.5148468017578
2019-04-06,0.09028899669647217,19.115629196166992,5059.8173828125,165.94720458984375
2019-04-07,0.09048400074243546,19.110271453857422,5198.89697265625,174.53164672851562
2019-04-08,0.087008997797966,18.11370277404785,5289.77099609375,180.25881958007812
2019-04-09,0.08374900370836258,18.4350528717041,5204.95849609375,176.1145782470703
2019-04-10,0.08996400237083435,18.248579025268555,5324.5517578125,177.3374786376953
2019-04-11,0.08338499814271927,17.70047950744629,5064.48779296875,165.4970245361328
2019-04-12,0.08346299827098846,18.43427085876465,5089.5390625,164.736328125
2019-04-13,0.08373100310564041,18.719797134399414,5096.58642578125,164.5133514404297
2019-04-14,0.08464299887418747,19.492019653320312,5167.72216796875,167.83851623535156
2019-04-15,0.08230700343847275,19.40242576599121,5067.1083984375,161.5741729736328
2019-04-16,0.08378300070762634,19.827455520629883,5235.5595703125,167.62344360351562
2019-04-17,0.08307400345802307,19.603349685668945,5251.93798828125,166.9507598876953
2019-04-18,0.08177500218153,22.03847885131836,5298.3857421875,173.81402587890625
2019-04-19,0.0794999971985817,24.47528076171875,5303.8125,173.70843505859375
2019-04-20,0.07650599628686905,25.00752830505371,5337.88623046875,173.7512664794922
2019-04-21,0.07410600036382675,24.193828582763672,5314.53125,170.04652404785156
2019-04-22,0.0780399963259697,23.908109664916992,5399.365234375,171.87466430664062
2019-04-23,0.07452400028705597,22.87626075744629,5572.3623046875,171.4477996826172
2019-04-24,0.07264500111341476,23.12906837463379,5464.86669921875,165.8260955810547
2019-04-25,0.06924399733543396,22.243106842041016,5210.515625,154.4593963623047
2019-04-26,0.06921900063753128,22.869428634643555,5279.34814453125,156.3470916748047
2019-04-27,0.0701960027217865,22.34158706665039,5268.291015625,158.4349365234375
2019-04-28,0.06859099864959717,22.89933967590332,5285.13916015625,157.29507446289062
2019-04-29,0.06463100016117096,21.705066680908203,5247.3525390625,155.20199584960938
2019-04-30,0.07034599781036377,22.127836227416992,5350.7265625,162.16603088378906
2019-05-01,0.06901399791240692,21.95362091064453,5402.697265625,160.81834411621094
2019-05-02,0.06857900321483612,23.591930389404297,5505.28369140625,162.12278747558594
2019-05-03,0.06985799968242645,23.7496280670166,5768.28955078125,167.95240783691406
2019-05-04,0.066880002617836,22.88483238220215,5831.16748046875,164.02658081054688
2019-05-05,0.06614600121974945,23.01995277404785,5795.70849609375,163.45069885253906
2019-05-06,0.06678000092506409,22.206634521484375,5746.80712890625,172.65321350097656
2019-05-07,0.06403599679470062,20.864179611206055,5829.50146484375,169.7986602783203
2019-05-08,0.06460600346326828,20.752676010131836,5982.45751953125,170.9481658935547
2019-05-09,0.06169100105762482,18.82835578918457,6174.52880859375,170.289306640625
2019-05-10,0.06342799961566925,19.598108291625977,6378.84912109375,173.1427459716797
2019-05-11,0.07517100125551224,21.049442291259766,7204.771484375,194.30433654785156
2019-05-12,0.07008600234985352,20.830297470092773,6972.37158203125,187.3253173828125
2019-05-13,0.07307200133800507,23.81102752685547,7814.9150390625,196.84628295898438
2019-05-14,0.08450499922037125,23.626419067382812,7994.416015625,217.14857482910156
2019-05-15,0.09395100176334381,26.894939422607422,8205.16796875,247.15306091308594
2019-05-16,0.08816099911928177,26.3258056640625,7884.9091796875,264.010009765625
2019-05-17,0.08325999975204468,25.682571411132812,7343.8955078125,243.76458740234375
2019-05-18,0.0791039988398552,28.396793365478516,7271.2080078125,234.59523010253906
