Date,Price
2024-04-10,75.8241
2024-04-09,77.6218
2024-04-08,79.6099
2024-04-07,77.6871
2024-04-06,74.0651
2024-04-05,74.9251
2024-04-04,74.4823
2024-04-03,76.1102
2024-04-02,77.6413
2024-04-01,77.7074
2024-03-31,78.5932
2024-03-30,77.9793
2024-03-29,77.7806
2024-03-28,79.8897
2024-03-27,78.6644
2024-03-26,78.6544
2024-03-25,78.6020
2024-03-24,76.7686
2024-03-23,77.0294
2024-03-22,77.2993
2024-03-21,78.6464
2024-03-20,81.2178
2024-03-19,78.4655
2024-03-18,77.6569
2024-03-17,78.8575
2024-03-16,76.4321
2024-03-15,77.9222
2024-03-14,75.4691
2024-03-13,81.0388
2024-03-12,81.6969
2024-03-11,85.7908
2024-03-10,81.9548
2024-03-09,76.7347
2024-03-08,75.9693
2024-03-07,76.6946
2024-03-06,80.0816
2024-03-05,76.9282
2024-03-04,77.5806
2024-03-03,72.2550
2024-03-02,68.2199
2024-03-01,68.5207
2024-02-29,72.2165
2024-02-28,70.3112
2024-02-27,62.7847
2024-02-26,60.1011
2024-02-25,59.3538
2024-02-24,57.9593
2024-02-23,56.5340
2024-02-22,58.5193
2024-02-21,58.1374
2024-02-20,59.5985
2024-02-19,59.8141
2024-02-18,59.1236
2024-02-17,57.7744
2024-02-16,57.3958
2024-02-15,58.3147
2024-02-14,57.6693
2024-02-13,55.8614
2024-02-12,55.6662
2024-02-11,53.1473
2024-02-10,50.6899
2024-02-09,49.7562
2024-02-08,46.9035
2024-02-07,46.0164
2024-02-06,45.7969
2024-02-05,45.7216
2024-02-04,45.3263
2024-02-03,45.3546
2024-02-02,46.1927
2024-02-01,47.8241
2024-01-31,49.5578
2024-01-30,49.5228
2024-01-29,48.2760
2024-01-28,47.8240
2024-01-27,46.0639
2024-01-26,47.7321
2024-01-25,49.6427
2024-01-24,51.6101
2024-01-23,54.4745
2024-01-22,50.6945
2024-01-21,49.8457
2024-01-20,50.0237
2024-01-19,49.7343
2024-01-18,50.6918
2024-01-17,56.8298
2024-01-16,59.7141
2024-01-15,61.4828
2024-01-14,61.5788
2024-01-13,60.9396
2024-01-12,61.9907
2024-01-11,65.8095
2024-01-10,70.7546
2024-01-09,70.3728
2024-01-08,74.7327
2024-01-07,75.7349
2024-01-06,74.3872
2024-01-05,71.3008
2024-01-04,69.3294
2024-01-03,68.9619
2024-01-02,69.0559
2024-01-01,68.9014
2023-12-31,68.8202
2023-12-30,68.2427
2023-12-29,66.7742
2023-12-28,67.2962
2023-12-27,66.5757
2023-12-26,62.8494
2023-12-25,62.4835
2023-12-24,62.1830
2023-12-23,61.1543
2023-12-22,61.4566
2023-12-21,61.0017
2023-12-20,60.9689
2023-12-19,60.1919
2023-12-18,58.4848
2023-12-17,57.3956
2023-12-16,56.5284
2023-12-15,57.2951
2023-12-14,58.2776
2023-12-13,60.4849
2023-12-12,60.9347
2023-12-11,62.6361
2023-12-10,61.0035
2023-12-09,61.1110
2023-12-08,59.8522
2023-12-07,59.6739
2023-12-06,61.1265
2023-12-05,59.9366
2023-12-04,60.1359
2023-12-03,60.3003
2023-12-02,57.6410
2023-12-01,56.6932
2023-11-30,55.6321
2023-11-29,56.2794
2023-11-28,55.9381
2023-11-27,57.0745
2023-11-26,58.0018
2023-11-25,57.9014
2023-11-24,58.5447
2023-11-23,59.3427
2023-11-22,60.3864
2023-11-21,61.6338
2023-11-20,60.9534
2023-11-19,60.2838
2023-11-18,59.3517
2023-11-17,59.8121
2023-11-16,61.8611
2023-11-15,62.7212
2023-11-14,61.9748
2023-11-13,62.7819
2023-11-12,61.9490
2023-11-11,61.7324
2023-11-10,62.6304
2023-11-09,62.4221
2023-11-08,59.1466
2023-11-07,58.4748
2023-11-06,61.6682
2023-11-05,64.1579
2023-11-04,62.3783
2023-11-03,62.3783
2023-11-02,62.3783
2023-11-01,60.0590
2023-10-31,57.2008
2023-10-30,57.7154
2023-10-29,56.5027
2023-10-28,52.7040
2023-10-27,53.1047
2023-10-26,59.7521
2023-10-25,60.0693
2023-10-24,58.7397
2023-10-23,59.9391
2023-10-22,49.3538
2023-10-21,46.5698
2023-10-20,45.8329
2023-10-19,41.6819
2023-10-18,41.9381
2023-10-17,43.4152
2023-10-16,42.8369
2023-10-15,40.0374
2023-10-14,39.0549
2023-10-13,39.3328
2023-10-12,40.5094
2023-10-11,40.7010
2023-10-10,41.1221
2023-10-09,40.5143
2023-10-08,39.6228
2023-10-07,39.2558
2023-10-06,38.7532
2023-10-05,39.8322
2023-10-04,40.6664
2023-10-03,40.7429
2023-10-02,42.3216
2023-10-01,39.7973
2023-09-30,38.4038
2023-09-29,38.8333
2023-09-28,41.4872
2023-09-27,40.6050
2023-09-26,41.7591
2023-09-25,41.0293
2023-09-24,40.2886
2023-09-23,39.0052
2023-09-22,39.5629
2023-09-21,42.5650
2023-09-20,43.6469
2023-09-19,43.4041
2023-09-18,43.0672
2023-09-17,40.8793
2023-09-16,41.2327
2023-09-15,42.0011
2023-09-14,43.8062
2023-09-13,45.5143
2023-09-12,45.7906
2023-09-11,46.2594
2023-09-10,43.1869
2023-09-09,42.0350
2023-09-08,42.6572
2023-09-07,42.2887
2023-09-06,42.0810
2023-09-05,42.3881
2023-09-04,40.9124
2023-09-03,40.1520
2023-09-02,38.7966
2023-09-01,39.6229
2023-08-31,40.2932
2023-08-30,41.6227
2023-08-29,43.5677
2023-08-28,41.1061
2023-08-27,40.5956
2023-08-26,40.5923
2023-08-25,41.8699
2023-08-24,45.4437
2023-08-23,44.8061
2023-08-22,46.1766
2023-08-21,45.6508
2023-08-20,44.9380
2023-08-19,44.9147
2023-08-18,47.4544
2023-08-17,49.6027
2023-08-16,38.0511
2023-08-15,36.9109
2023-08-14,35.8867
2023-08-13,35.8057
2023-08-12,34.4978
2023-08-11,36.0746
2023-08-10,38.9783
2023-08-09,41.1858
2023-08-08,40.6067
2023-08-07,38.5100
2023-08-06,37.2954
2023-08-05,37.4283
2023-08-04,37.9467
2023-08-03,39.5335
2023-08-02,39.9514
2023-08-01,39.8956
2023-07-31,39.2024
2023-07-30,38.9118
2023-07-29,37.7595
2023-07-28,38.6727
2023-07-27,40.0012
2023-07-26,41.0064
2023-07-25,40.0372
2023-07-24,40.7917
2023-07-23,41.1683
2023-07-22,40.8438
2023-07-21,42.1046
2023-07-20,43.3692
2023-07-19,43.7979
2023-07-18,45.5564
2023-07-17,45.4435
2023-07-16,45.2887
2023-07-15,45.9890
2023-07-14,47.0798
2023-07-13,46.4832
2023-07-12,45.3085
2023-07-11,45.7982
2023-07-10,46.3444
2023-07-09,45.9354
2023-07-08,46.8293
2023-07-07,48.4443
2023-07-06,49.5508
2023-07-05,47.5357
2023-07-04,49.6099
2023-07-03,49.5891
2023-07-02,48.0304
2023-07-01,46.8549
2023-06-30,47.4250
2023-06-29,48.0399
2023-06-28,50.2704
2023-06-27,51.4230
2023-06-26,51.6848
2023-06-25,52.2156
2023-06-24,53.0138
2023-06-23,53.9428
2023-06-22,55.0465
2023-06-21,57.4876
2023-06-20,52.7365
2023-06-19,47.5290
2023-06-18,46.8538
2023-06-17,46.4331
2023-06-16,48.5387
2023-06-15,50.6842
2023-06-14,48.3563
2023-06-13,48.9105
2023-06-12,48.2724
2023-06-11,45.9053
2023-06-10,45.6204
2023-06-09,43.4915
2023-06-08,44.8049
2023-06-06,43.3575
2023-06-05,43.4688
2023-06-04,44.0632
2023-06-03,44.0830
2023-06-02,45.3311
2023-06-01,46.5457
2023-05-31,47.5965
2023-05-30,48.5401
2023-05-29,50.0207
2023-05-28,49.6294
2023-05-27,47.3575
2023-05-26,48.4828
2023-05-25,51.3748
2023-05-24,53.2778
2023-05-23,52.0816
2023-05-22,50.2205
2023-05-21,49.6123
2023-05-20,49.1668
2023-05-19,48.8463
2023-05-18,49.9468
2023-05-17,52.5016
2023-05-16,53.2538
2023-05-15,53.6904
2023-05-14,51.4476
2023-05-13,52.0551
2023-05-12,54.2578
2023-05-11,54.0216
2023-05-10,54.3863
2023-05-09,54.8518
2023-05-08,54.4570
2023-05-07,54.1678
2023-05-06,53.9869
2023-05-05,54.7415
2023-05-04,55.8740
2023-05-03,56.8351
2023-05-02,56.2876
2023-05-01,56.8302
2023-04-30,55.3213
2023-04-29,54.4996
2023-04-28,55.5718
2023-04-27,58.6078
2023-04-26,59.6875
2023-04-25,58.5435
2023-04-24,58.5435
